Mating group (foursome),Mom,Dad,Treatment,y (growth rate),,,Notes:,,,,
1,1,1,S,15.0313,,,Moms and dads are arbitrarily labelled 1 and 2 within each mating group,,,,
1,1,1,S,14.83016,,,,,,,
1,1,1,M,14.1862,,,,,,,
1,1,1,M,8.88214,,,,,,,
1,1,1,L,9.29884,,,,,,,
1,1,1,L,14.09304,,,,,,,
1,2,1,S,10.59874,,,,,,,
1,2,1,S,11.20094,,,,,,,
1,2,1,M,8.20488,,,,,,,
1,2,1,M,10.8032,,,,,,,
1,2,1,L,12.46086,,,,,,,
1,2,1,L,10.0684,,,,,,,
1,1,2,S,14.51976,,,,,,,
1,1,2,S,12.1868,,,,,,,
1,1,2,M,11.941,,,,,,,
1,1,2,M,10.59052,,,,,,,
1,1,2,L,8.32676,,,,,,,
1,1,2,L,7.58436,,,,,,,
1,2,2,S,10.07912,,,,,,,
1,2,2,S,13.2107,,,,,,,
1,2,2,M,8.77024,,,,,,,
1,2,2,M,13.58406,,,,,,,
1,2,2,L,4.3082,,,,,,,
1,2,2,L,8.94282,,,,,,, 
2,1,1,S,11.09806,,,,,,,
2,1,1,S,12.61642,,,,,,,
2,1,1,M,8.3464,,,,,,,
2,1,1,M,11.76472,,,,,,,
2,1,1,L,9.7823,,,,,,,
2,1,1,L,11.87568,,,,,,,
2,2,1,S,7.80082,,,,,,,
2,2,1,S,11.5351,,,,,,,
2,2,1,M,8.6329,,,,,,,
2,2,1,M,13.18492,,,,,,,
2,2,1,L,8.6698,,,,,,,
2,2,1,L,8.8826,,,,,,,
2,1,2,S,10.23884,,,,,,,
2,1,2,S,10.6251,,,,,,,
2,1,2,M,13.72056,,,,,,,
2,1,2,M,12.4298,,,,,,,
2,1,2,L,10.34774,,,,,,,
2,1,2,L,10.8784,,,,,,,
2,2,2,S,12.45688,,,,,,,
2,2,2,S,12.59008,,,,,,,
2,2,2,M,9.48702,,,,,,,
2,2,2,M,9.28864,,,,,,,
2,2,2,L,7.89202,,,,,,,
2,2,2,L,10.73724,,,,,,,
3,1,1,S,13.86932,,,,,,,
3,1,1,S,15.23056,,,,,,,
3,1,1,M,14.46936,,,,,,,
