Gen	PrZero	PrOne
0	0.0	1.0
1	0.09	0.91
2	0.1665	0.8335
3	0.231525	0.768475
4	0.28679625	0.71320375
5	0.3337768125	0.6662231875
6	0.373710290625	0.626289709375
7	0.407653747031	0.592346252969
8	0.436505684977	0.563494315023
9	0.46102983223	0.53897016777
10	0.481875357396	0.518124642604
11	0.499594053786	0.500405946214
12	0.514654945718	0.485345054282
13	0.527456703861	0.472543296139
14	0.538338198281	0.461661801719
15	0.547587468539	0.452412531461
16	0.555449348258	0.444550651742
17	0.56213194602	0.43786805398
18	0.567812154117	0.432187845883
19	0.572640330999	0.427359669001
20	0.576744281349	0.423255718651
21	0.580232639147	0.419767360853
22	0.583197743275	0.416802256725
23	0.585718081784	0.414281918216
24	0.587860369516	0.412139630484
25	0.589681314089	0.410318685911
26	0.591229116975	0.408770883025
27	0.592544749429	0.407455250571
28	0.593663037015	0.406336962985
29	0.594613581463	0.405386418537
30	0.595421544243	0.404578455757
31	0.596108312607	0.403891687393
32	0.596692065716	0.403307934284
33	0.597188255858	0.402811744142
34	0.59761001748	0.40238998252
35	0.597968514858	0.402031485142
36	0.598273237629	0.401726762371
37	0.598532251985	0.401467748015
38	0.598752414187	0.401247585813
39	0.598939552059	0.401060447941
40	0.59909861925	0.40090138075
